agr_name;agr_participant;agr_inst_tag;cri_inst_name_all;cri_inst_id;edvarda_participant_id;publisher_standard_name;agr_name_edvarda;agr_date_start;agr_date_end;agr_date_updated
acm;Arkitektur- og designhøgskolen i Oslo;aho;Arkitektur- og designhøgskolen i Oslo;189;15345;ACM;ACM DL lisens 2022-24;2022-01-01;2024-12-31;2024-03-17
acm;Forsvarets Høgskole;fhs;Forsvarets høgskole;1627;15420;ACM;ACM DL lisens 2022-24;2022-01-01;2024-12-31;2024-03-17
acm;Forsvarets forskningsinstitutt;ffi;Forsvarets forskningsinstitutt;7428;15418;ACM;ACM DL lisens 2022-24;2022-01-01;2024-12-31;2024-03-17
acm;Høgskolen i Østfold;hioef;Høgskolen i Østfold;224;15443;ACM;ACM DL lisens 2022-24;2022-01-01;2024-12-31;2024-03-17
acm;Høgskulen På Vestlandet;hvl;Høgskulen på Vestlandet;203;15449;ACM;ACM DL lisens 2022-24;2022-01-01;2024-12-31;2024-03-17
acm;Høyskolen Kristiania - Ernst G Mortensens Stiftelse;hk;Høyskolen Kristiania;1615;15444;ACM;ACM DL lisens 2022-24;2022-01-01;2024-12-31;2024-03-17
acm;Nord Universitet;nord;Nord universitet;204;15499;ACM;ACM DL lisens 2022-24;2022-01-01;2024-12-31;2024-03-17
acm;Norges teknisk-naturvitenskapelige universitet;ntnu;Norges teknisk-naturvitenskapelige universitet;194;15507;ACM;ACM DL lisens 2022-24;2022-01-01;2024-12-31;2024-03-17
acm;Norges teknisk-naturvitenskapelige universitet;ntnu_1920;St. Olavs Hospital HF;1920;15507;ACM;ACM DL lisens 2022-24;2022-01-01;2024-12-31;2024-03-17
acm;OsloMet - Storbyuniversitetet;oslomet;OsloMet - storbyuniversitetet;215;15439;ACM;ACM DL lisens 2022-24;2022-01-01;2024-12-31;2024-03-17
acm;SINTEF AS;sintef;SINTEF AS;7401;15526;ACM;ACM DL lisens 2022-24;2022-01-01;2024-12-31;2024-03-17
acm;SINTEF AS;sintef_6228;SINTEF Narvik;6228;15526;ACM;ACM DL lisens 2022-24;2022-01-01;2024-12-31;2024-03-17
acm;SINTEF AS;sintef_7548;SINTEF Energi AS;7548;15526;ACM;ACM DL lisens 2022-24;2022-01-01;2024-12-31;2024-03-17
acm;SINTEF AS;sintef_7566;SINTEF Ocean;7566;15526;ACM;ACM DL lisens 2022-24;2022-01-01;2024-12-31;2024-03-17
acm;SINTEF AS;sintef_7630;SINTEF Manufacturing;7630;15526;ACM;ACM DL lisens 2022-24;2022-01-01;2024-12-31;2024-03-17
acm;UiO : Universitetsbiblioteket;uio;Universitetet i Oslo;185;15550;ACM;ACM DL lisens 2022-24;2022-01-01;2024-12-31;2024-03-17
acm;UiO : Universitetsbiblioteket;uio_2012;Oslo universitetssykehus HF;2012;15550;ACM;ACM DL lisens 2022-24;2022-01-01;2024-12-31;2024-03-17
acm;UiT - Norges arktiske universitet;uit;UiT Norges arktiske universitet;186;15552;ACM;ACM DL lisens 2022-24;2022-01-01;2024-12-31;2024-03-17
acm;UiT - Norges arktiske universitet;uit_1902;Universitetssykehuset Nord-Norge HF;1902;15552;ACM;ACM DL lisens 2022-24;2022-01-01;2024-12-31;2024-03-17
acm;Universitetet i Agder;uia;Universitetet i Agder;201;15548;ACM;ACM DL lisens 2022-24;2022-01-01;2024-12-31;2024-03-17
acm;Universitetet i Bergen;uib;Universitetet i Bergen;184;15549;ACM;ACM DL lisens 2022-24;2022-01-01;2024-12-31;2024-03-17
acm;Universitetet i Bergen;uib_1936;Helse Bergen HF - Haukeland universitetssykehus;1936;15549;ACM;ACM DL lisens 2022-24;2022-01-01;2024-12-31;2024-03-17
acs;Høgskolen i Østfold;hioef;Høgskolen i Østfold;224;15443;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2024-03-17
acs;NIBIO;nibio;Norsk institutt for bioøkonomi;7677;15481;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2024-03-17
acs;NILU;nilu;NILU;7460;15488;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2024-03-17
acs;Nofima;nofima;NOFIMA;7543;15496;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2024-03-17
acs;Norges Geotekniske Institutt;ngi;Norges Geotekniske Institutt;7452;15477;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2024-03-17
acs;Norges miljø- og biovitenskapelige universitet;nmbu;Norges miljø- og biovitenskapelige universitet;192;15493;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2024-03-17
acs;Norges teknisk-naturvitenskapelige universitet;ntnu;Norges teknisk-naturvitenskapelige universitet;194;15507;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2024-03-17
acs;Norges teknisk-naturvitenskapelige universitet;ntnu_1920;St. Olavs Hospital HF;1920;15507;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2024-03-17
acs;Norsk Institutt For Vannforskning;niva;Norsk institutt for vannforskning;7464;15491;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2024-03-17
acs;SINTEF AS;sintef;SINTEF AS;7401;15526;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2024-03-17
acs;SINTEF AS;sintef_6228;SINTEF Narvik;6228;15526;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2024-03-17
acs;SINTEF AS;sintef_7548;SINTEF Energi AS;7548;15526;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2024-03-17
acs;SINTEF AS;sintef_7566;SINTEF Ocean;7566;15526;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2024-03-17
acs;SINTEF AS;sintef_7630;SINTEF Manufacturing;7630;15526;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2024-03-17
acs;UiO : Universitetsbiblioteket;uio;Universitetet i Oslo;185;15550;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2024-03-17
acs;UiO : Universitetsbiblioteket;uio_1972;Akershus universitetssykehus HF;1972;15550;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2024-03-17
acs;UiO : Universitetsbiblioteket;uio_2012;Oslo universitetssykehus HF;2012;15550;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2024-03-17
acs;UiT - Norges arktiske universitet;uit;UiT Norges arktiske universitet;186;15552;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2024-03-17
acs;UiT - Norges arktiske universitet;uit_1902;Universitetssykehuset Nord-Norge HF;1902;15552;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2024-03-17
acs;Universitetet I Stavanger;uis;Universitetet i Stavanger;217;15551;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2024-03-17
acs;Universitetet I Stavanger;uis_1938;Helse Stavanger HF - Stavanger universitetssjukehus;1938;15551;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2024-03-17
acs;Universitetet I Sørøst-Norge;usn;Universitetet i Sørøst-Norge;222;15447;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2024-03-17
acs;Universitetet i Bergen;uib;Universitetet i Bergen;184;15549;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2024-03-17
acs;Universitetet i Bergen;uib_1936;Helse Bergen HF - Haukeland universitetssykehus;1936;15549;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2024-03-17
acs;Universitetssenteret på Svalbard;unis;Universitetssenteret på Svalbard;195;15553;American Chemical Society;ACS Online Publications;2023-01-01;2024-12-31;2024-03-17
