agr_name;agr_participant;cri_inst_name_all;cri_inst_id;publisher_standard_name;edvarda_participant_id;agr_inst_tag
tnf;Universitetet i Bergen;Universitetet i Bergen;184;Taylor & Francis;15549;uib
tnf;Universitetet i Bergen;Helse Bergen HF - Haukeland universitetssykehus;1936;Taylor & Francis;15549;uib02
tnf;Universitetet I Stavanger;Universitetet i Stavanger;217;Taylor & Francis;15551;uis
tnf;Universitetet I Stavanger;Helse Stavanger HF - Stavanger universitetssjukehus;1938;Taylor & Francis;15551;uis02
tnf;Universitetet I Sørøst-Norge;Universitetet i Sørøst-Norge;222;Taylor & Francis;15447;usn
tnf;Vestlandsforsking;Vestlandsforsking;7484;Taylor & Francis;24138;vf
tnf;VID Vitenskapelige Høgskole;VID vitenskapelige høgskole;251;Taylor & Francis;15557;vid
wiley;Barne-, ungdoms- og familiedirektoratet;NA;NA;Wiley;15356;bufdir
wiley;Bergen Global, Chr. Michelsens Institutt;Chr. Michelsen Institute;7416;Wiley;15355;cmi
wiley;Departementenes Sikkerhets- Og Serviceorganisasjon;NA;NA;Wiley;15361;dss
wiley;Diakonhjemmet Sykehus. Medisinsk Bibliotek;Diakonhjemmet sykehus;1990;Wiley;15359;diakonsyk
wiley;Forsvarets forskningsinstitutt;Forsvarets forskningsinstitutt;7428;Wiley;15418;ffi
wiley;Handelshøyskolen BI;Handelshøyskolen BI;158;Wiley;15353;bi
wiley;Havforskningsinstituttet;Havforskningsinstituttet;7431;Wiley;15454;imr
wiley;Høgskolen I Innlandet;Høgskolen i Innlandet;209;Wiley;15428;inn
wiley;Høgskolen i Molde - Vitenskapelig høgskole i logistikk;Høgskolen i Molde - Vitenskapelig høgskole i logistikk;211;Wiley;15435;himolde
wiley;Høgskolen i Østfold;Høgskolen i Østfold;224;Wiley;15443;hioef
wiley;Høgskulen i Volda;Høgskulen i Volda;223;Wiley;15450;hvo
wiley;Høgskulen På Vestlandet;Høgskulen på Vestlandet;203;Wiley;15449;hvl
wiley;Høyskolen Kristiania - Ernst G Mortensens Stiftelse;Høyskolen Kristiania;1615;Wiley;15444;hk
wiley;Institutt For Fredsforskning;PRIO - Institutt for fredsforskning;7435;Wiley;15516;prio
wiley;Lovisenberg Diakonale Høgskole;Lovisenberg diakonale høgskole;230;Wiley;15464;ldh
wiley;MF Vitenskapelig Høyskole For Teologi, Religion Og Samfunn;MF vitenskapelig høyskole for teologi, religion og samfunn;190;Wiley;15469;mf
wiley;Miljødirektoratet;NA;NA;Wiley;15467;mdir
wiley;NIBIO;Norsk institutt for bioøkonomi;7677;Wiley;15481;nibio
wiley;NILU - Stiftelsen Norsk Institutt For Luftforskning;NILU - Norsk institutt for luftforskning;7460;Wiley;15488;nilu
wiley;Nofima;NOFIMA;7543;Wiley;15496;nofima
wiley;NORCE Norwegian Research Centre AS;NORCE Norwegian Research Centre AS;2057;Wiley;50928;norce
wiley;Nord Universitet;Nord universitet;204;Wiley;15499;nord
wiley;Nordlandsforskning;Nordlandsforskning;7446;Wiley;15474;nf
wiley;Norges Geotekniske Institutt;Norges Geotekniske Institutt;7452;Wiley;15477;ngi
wiley;Norges Handelshøyskole;Norges Handelshøyskole;191;Wiley;15480;nhh
wiley;Norges miljø- og biovitenskapelige universitet;Norges miljø- og biovitenskapelige universitet;192;Wiley;15493;nmbu
wiley;Norges teknisk-naturvitenskapelige universitet;Norges teknisk-naturvitenskapelige universitet;194;Wiley;15507;ntnu
wiley;Norges teknisk-naturvitenskapelige universitet;St. Olavs Hospital HF;1920;Wiley;15507;ntnu02
wiley;Norsk institutt for naturforskning;Norsk institutt for naturforskning;7511;Wiley;15489;nina
wiley;Norsk Institutt For Vannforskning;Norsk institutt for vannforskning;7464;Wiley;15491;niva
wiley;Norsk Polarinstitutt;Norsk Polarinstitutt;7466;Wiley;15502;npolar
wiley;NUBU - Nasjonalt utviklingssenter for barn og unge;NA;NA;Wiley;51031;nubu
wiley;Oslo Nye Høyskole;Oslo Nye Høyskole;1620;Wiley;51024;bh
wiley;OsloMet - Storbyuniversitetet;OsloMet - storbyuniversitetet;215;Wiley;15439;oslomet
wiley;Regionsenter for barn og unges psykiske helse, helseregion Øst og Sør;RBUP Øst og Sør;7539;Wiley;15519;rbupos
wiley;SINTEF AS;SINTEF Narvik;6228;Wiley;15526;sintef
wiley;SINTEF AS;SINTEF AS;7401;Wiley;15526;sintef02
wiley;SINTEF AS;SINTEF Energi AS;7548;Wiley;15526;sintef03
wiley;SINTEF AS;SINTEF Ocean;7566;Wiley;15526;sintef04
wiley;SINTEF AS;SINTEF Manufacturing;7630;Wiley;15526;sintef05
wiley;Statistisk Sentralbyrå;Statistisk sentralbyrå;5932;Wiley;15535;ssb
wiley;Sykehuset Telemark HF;Sykehuset Telemark HF;1959;Wiley;51030;sthf
wiley;Sykehuset Østfold;Sykehuset Østfold HF;1983;Wiley;15510;ostfsyk
wiley;Sørlandet Sykehus HF;Sørlandet sykehus HF;1965;Wiley;15536;sshf
wiley;UiO : Universitetsbiblioteket;Universitetet i Oslo;185;Wiley;15550;uio
wiley;UiO : Universitetsbiblioteket;Akershus universitetssykehus HF;1972;Wiley;15550;uio02
wiley;UiO : Universitetsbiblioteket;Oslo universitetssykehus HF;2012;Wiley;15550;uio03
wiley;UiO : Universitetsbiblioteket;Kreftregisteret - Institutt for populasjonsbasert kreftforskning;5737;Wiley;15550;uio04
wiley;UiO : Universitetsbiblioteket;Folkehelseinstituttet;7502;Wiley;15550;uio05
wiley;UiT - Norges arktiske universitet;UiT Norges arktiske universitet;186;Wiley;15552;uit
wiley;UiT - Norges arktiske universitet;Universitetssykehuset Nord-Norge HF;1902;Wiley;15552;uit02
wiley;Universitetet i Agder;Universitetet i Agder;201;Wiley;15548;uia
wiley;Universitetet i Bergen;Universitetet i Bergen;184;Wiley;15549;uib
wiley;Universitetet i Bergen;Helse Bergen HF - Haukeland universitetssykehus;1936;Wiley;15549;uib02
wiley;Universitetet I Stavanger;Universitetet i Stavanger;217;Wiley;15551;uis
wiley;Universitetet I Stavanger;Helse Stavanger HF - Stavanger universitetssjukehus;1938;Wiley;15551;uis02
wiley;Universitetet I Sørøst-Norge;Universitetet i Sørøst-Norge;222;Wiley;15447;usn
wiley;Universitetssenteret på Svalbard;Universitetssenteret på Svalbard;195;Wiley;15553;unis
wiley;Utdanningsdirektoratet;NA;NA;Wiley;15546;udir
wiley;Vestre Viken HF;Vestre Viken HF;2017;Wiley;15559;vvhf
wiley;Veterinærinstituttet;Veterinærinstituttet;7497;Wiley;15556;vetinst
wiley;VID Vitenskapelige Høgskole;VID vitenskapelige høgskole;251;Wiley;15557;vid
