agr_name;agr_participant;cri_inst_name_all;cri_inst_id;publisher_standard_name;edvarda_participant_id;agr_inst_tag
elsevier;Nofima;NOFIMA;7543;Elsevier;15496;nofima
elsevier;NORCE Norwegian Research Centre AS;NORCE Norwegian Research Centre AS;2057;Elsevier;50928;norce
elsevier;Nord Universitet;Nord universitet;204;Elsevier;15499;nord
elsevier;Norges geologiske undersøkelse;Norges geologiske undersøkelse;7451;Elsevier;15478;ngu
elsevier;Norges Geotekniske Institutt;Norges Geotekniske Institutt;7452;Elsevier;15477;ngi
elsevier;Norges Handelshøyskole;Norges Handelshøyskole;191;Elsevier;15480;nhh
elsevier;Norges Idrettshøgskole - Biblioteket;Norges idrettshøgskole;150;Elsevier;15485;nih
elsevier;Norges miljø- og biovitenskapelige universitet;Norges miljø- og biovitenskapelige universitet;192;Elsevier;15493;nmbu
elsevier;Norges teknisk-naturvitenskapelige universitet;Norges teknisk-naturvitenskapelige universitet;194;Elsevier;15507;ntnu
elsevier;Norges teknisk-naturvitenskapelige universitet;St. Olavs Hospital HF;1920;Elsevier;15507;ntnu02
elsevier;Norges vassdrags- og energidirektorat;NA;NA;Elsevier;15509;nve
elsevier;Norsk institutt for naturforskning;Norsk institutt for naturforskning;7511;Elsevier;15489;nina
elsevier;Norsk Institutt For Vannforskning;Norsk institutt for vannforskning;7464;Elsevier;15491;niva
elsevier;Norsk Polarinstitutt;Norsk Polarinstitutt;7466;Elsevier;15502;npolar
elsevier;NUBU - Nasjonalt utviklingssenter for barn og unge;NA;NA;Elsevier;51031;nubu
elsevier;OsloMet - Storbyuniversitetet;OsloMet - storbyuniversitetet;215;Elsevier;15439;oslomet
elsevier;Regionsenter for barn og unges psykiske helse, helseregion Øst og Sør;RBUP Øst og Sør;7539;Elsevier;15519;rbupos
elsevier;SINTEF AS;SINTEF Narvik;6228;Elsevier;15526;sintef
elsevier;SINTEF AS;SINTEF AS;7401;Elsevier;15526;sintef02
elsevier;SINTEF AS;SINTEF Energi AS;7548;Elsevier;15526;sintef03
elsevier;SINTEF AS;SINTEF Ocean;7566;Elsevier;15526;sintef04
elsevier;SINTEF AS;SINTEF Manufacturing;7630;Elsevier;15526;sintef05
elsevier;Statens Arbeidsmiljøinstitutt;Statens arbeidsmiljøinstitutt;7476;Elsevier;15537;stami
elsevier;Statistisk Sentralbyrå;Statistisk sentralbyrå;5932;Elsevier;15535;ssb
elsevier;Tannhelsetjenestens Kompetansesentre;Tannhelsetjenestens kompetansesentre;2060;Elsevier;15541;tk
elsevier;Transportøkonomisk Institutt;Transportøkonomisk institutt;7482;Elsevier;15544;toei
elsevier;UiO : Universitetsbiblioteket;Universitetet i Oslo;185;Elsevier;15550;uio
elsevier;UiO : Universitetsbiblioteket;Akershus universitetssykehus HF;1972;Elsevier;15550;uio02
elsevier;UiO : Universitetsbiblioteket;Oslo universitetssykehus HF;2012;Elsevier;15550;uio03
elsevier;UiO : Universitetsbiblioteket;Kreftregisteret - Institutt for populasjonsbasert kreftforskning;5737;Elsevier;15550;uio04
elsevier;UiT - Norges arktiske universitet;UiT Norges arktiske universitet;186;Elsevier;15552;uit
elsevier;UiT - Norges arktiske universitet;Universitetssykehuset Nord-Norge HF;1902;Elsevier;15552;uit02
elsevier;Universitetet i Agder;Universitetet i Agder;201;Elsevier;15548;uia
elsevier;Universitetet i Bergen;Universitetet i Bergen;184;Elsevier;15549;uib
elsevier;Universitetet i Bergen;Helse Bergen HF - Haukeland universitetssykehus;1936;Elsevier;15549;uib02
elsevier;Universitetet I Stavanger;Universitetet i Stavanger;217;Elsevier;15551;uis
elsevier;Universitetet I Sørøst-Norge;Universitetet i Sørøst-Norge;222;Elsevier;15447;usn
elsevier;Universitetssenteret på Svalbard;Universitetssenteret på Svalbard;195;Elsevier;15553;unis
elsevier;Veterinærinstituttet;Veterinærinstituttet;7497;Elsevier;15556;vetinst
elsevier;VID Vitenskapelige Høgskole;VID vitenskapelige høgskole;251;Elsevier;15557;vid
oupj;Diakonhjemmet Sykehus. Medisinsk Bibliotek;Diakonhjemmet sykehus;1990;Oxford University Press;15359;diakonsyk
oupj;Handelshøyskolen BI;Handelshøyskolen BI;158;Oxford University Press;15353;bi
oupj;Havforskningsinstituttet;Havforskningsinstituttet;7431;Oxford University Press;15454;imr
oupj;Høgskulen På Vestlandet;Høgskulen på Vestlandet;203;Oxford University Press;15449;hvl
oupj;Institutt For Samfunnsforskning;Institutt for samfunnsforskning;7437;Oxford University Press;15455;isf
oupj;NIBIO;Norsk institutt for bioøkonomi;7677;Oxford University Press;15481;nibio
